naziv,adresa,broj_telefona,email,radno_vrijeme,opis,web_stranica,kapacitet,ocjena,regija_id,tip_id,vlasnik_id
Happy Tails Hotel,123 Main Street Downtown,123-456-7890,info@happytailshotel.com,08:00-20:00,Luksuzni hotel za kućne ljubimce koji nudi vrhunske sadržaje i njegu,http://www.happytailshotel.com,50 kućnih ljubimaca,4.5,1,1,1
Cozy Paws Inn,456 Elm Street Suburb,234-567-8901,contact@cozypawsinn.com,09:00-18:00,Ugodna gostionica za kućne ljubimce koja pruža atmosferu kao kod kuće,http://www.cozypawsinn.com,20 kućnih ljubimaca,4.2,2,2,2
Pet Paradise Villas,789 Oak Street Uptown,345-678-9012,support@petparadisevillas.com,07:00-19:00,Privatne vile za kućne ljubimce u udobnosti i luksuzu,http://www.petparadisevillas.com,30 kućnih ljubimaca,4.8,3,3,3
Furry Friends Home Stay,321 Pine Street Riverside,456-789-0123,info@furryfriendshomestay.com,09:00-21:00,Opcija kućnog smještaja gdje kućni ljubimci žive s obitelji,http://www.furryfriendshomestay.com,10 kućnih ljubimaca,4.0,4,4,4
Pet Haven Apartments,654 Maple Avenue City Center,567-890-1234,contact@pethavenapartments.com,08:00-22:00,Apartmani dizajnirani posebno za brigu o kućnim ljubimcima,http://www.pethavenapartments.com,25 kućnih ljubimaca,4.3,5,5,5
Luxury Pet Resort,987 Cedar Street Seaside,678-901-2345,info@luxurypetresort.com,06:00-20:00,Odmaralište koje nudi luksuzni smještaj za kućne ljubimce,http://www.luxurypetresort.com,40 kućnih ljubimaca,4.9,6,6,6
Pet Care Cottage,321 Birch Road Countryside,789-012-3456,info@petcarecottage.com,08:00-18:00,Ljupka koliba koja nudi usluge brige za kućne ljubimce,http://www.petcarecottage.com,15 kućnih ljubimaca,4.1,7,7,7
Animal Oasis,654 Willow Drive Suburb,890-123-4567,contact@animaloasis.com,09:00-19:00,Oaza za opuštanje i uživanje kućnih ljubimaca,http://www.animaloasis.com,35 kućnih ljubimaca,4.7,8,8,8
Urban Pet Suites,987 Spruce Street Downtown,012-345-6789,info@urbanpetsuites.com,08:00-20:00,Apartmani za kućne ljubimce u urbanom centru,http://www.urbanpetsuites.com,45 ljubimaca,4.4,9,9,9
Pet Retreat House,123 Ash Avenue Beachside,123-456-7890,info@petretreathouse.com,07:00-19:00,Kuća koja nudi utočište za kućne ljubimce,http://www.petretreathouse.com,20 kućnih ljubimaca,4.6,10,10,10
Happy Paws Lodge,456 Cherry Lane Countryside,234-567-8901,info@happypawslodge.com,09:00-18:00,Lodge pruža izvrsnu skrb za kućne ljubimce,http://www.happypawslodge.com,25 kućnih ljubimaca,4.3,11,11,11
Pet Stay Haven,789 Dogwood Street Suburb,345-678-9012,contact@petstayhaven.com,08:00-20:00,Utočište za kućne ljubimce dok su vlasnici odsutni,http://www.petstayhaven.com,30 kućnih ljubimaca,4.5,12,12,12
