naziv, opis, ishrana
Mačka,"Mačka (Felis catus) je mali, dlakavi sisavac često držan kao kućni ljubimac. Mačke su poznate po svojoj neovisnoj naravi, ali mogu biti vrlo privržene i društvene prema svojim vlasnicima.",mesožder
Pas,"Pas (Canis lupus familiaris) je četveronožni sisavac često držan kao kućni ljubimac. Pas je poznat po svojoj lojalnosti i inteligenciji, te je često vjeran pratilac ljudima.",mesožder
Kunić,"Kunić (Oryctolagus cuniculus) je mali sisavac često držan kao kućni ljubimac. Kunići su poznati po svojoj mekoj dlaci i slatkim ponašanjem.",biljožder
Ptica,"Ptica je zrakoplov sa sposobnošću letenja. Postoji veliki broj vrsta ptica, uključujući papige, kanarince, i vrabce.",svežder
Ribica,"Ribica je mali vodenasti sisavac koji se često drži u akvarijima kao kućni ljubimac. Postoji mnogo vrsta ribica, uključujući zlatne ribice, tetre i koi šarane.",svežder
Kornjača,"Kornjača je sisavac reptil koji obično ima tvrdi oklop. Kornjače se često drže kao kućni ljubimci i mogu biti izvrsni dugoročni pratitelji.",biljožder
Papiga,"Papiga je ptica često držana kao kućni ljubimac. Papige su poznate po svojoj inteligenciji i sposobnosti imitiranja ljudskog govora.",svežder
Zec,"Zec (Oryctolagus cuniculus) je mali sisavac često držan kao kućni ljubimac. Zečevi su poznati po svojoj brzini i sposobnosti skakanja.",biljožder
Hrčak,"Hrčak (Cricetinae) je mali sisavac često držan kao kućni ljubimac. Hrčci su poznati po svojoj slatkoj naravi i aktivnom noćnom životu.",biljožder
Zmija,"Zmija je reptil često držan kao egzotični kućni ljubimac. Postoji veliki broj vrsta zmija, uključujući pitone, boa zmije i kraljevske zmije.",mesožder
Ara,"Ara je velika ptica iz porodice papiga, često držana kao egzotični kućni ljubimac. Are su poznate po svojoj šarenolikoj perjadi i glasnom pozivanju.",svežder
Kraljevska kobra,"Kraljevska kobra je zmija iz porodice Elapidae, često držana kao egzotični kućni ljubimac. Kraljevske kobre su poznate po svojoj opasnoj otrovnosti.",mesožder
Tarantula,"Tarantula je pauk često držan kao egzotični kućni ljubimac. Tarantule su poznate po svojim dlakavim tijelima i impresivnoj veličini.",mesožder
Žaba,"Žaba je vodozemac često držan kao kućni ljubimac. Žabe su poznate po svojim skočnim sposobnostima i karakterističnim kvakanjem.",svežder
Jastog,"Jastog je morski rak često korišten u gastronomiji. Jastog se često drži u akvarijima kao egzotični kućni ljubimac.",mesožder
Gušter,"Gušter je reptil često držan kao kućni ljubimac. Postoji mnogo vrsta guštera, uključujući iguane, gekone i kameleon.",svežder
Štakor,"Štakor (Rattus) je mali sisavac često držan kao kućni ljubimac. Štakori su poznati po svojoj inteligenciji i društvenom ponašanju.",svežder
Puh,"Puh je mali sisavac često držan kao kućni ljubimac. Puhovi su poznati po svojoj mekoj dlaci i nježnom ponašanju.",biljožder
Tetrijeb,"Tetrijeb je ptica iz porodice fazanidae, često držana kao egzotični kućni ljubimac. Tetrijebi su poznati po svojim šarenim perjem i gracioznom ponašanju.",svežder
Pauk,"Pauk je člankonožac često držan kao egzotični kućni ljubimac. Postoji mnogo vrsta pauka, uključujući crne udovice, tarantule i skakavce.",mesožder
Jež,"Jež (Erinaceus europaeus) je mali sisavac često držan kao kućni ljubimac. Ježevi su poznati po svojim bodljama i noćnoj aktivnosti.",svežder
Patka,"Patka je vodena ptica često držana kao egzotični kućni ljubimac. Patke su poznate po svojoj sposobnosti plivanja i veselom kvačenju.",svežder
Papiga Nanday,"Papiga Nanday (Nandayus nenday) je ptica često držana kao egzotični kućni ljubimac. Papige Nanday su poznate po svojim živopisnim bojama i glasnom pjevu.",svežder
Kameleon,"Kameleon je reptil često držan kao egzotični kućni ljubimac. Kameleoni su poznati po svojoj sposobnosti mijenjanja boje i dugom jeziku.",svežder
Sova,"Sova je noćna ptica često držana kao egzotični kućni ljubimac. Sove su poznate po svojim velikim očima i tihoj letjelici.",mesožder
Želva,"Želva je vodozemac često držan kao kućni ljubimac. Želve su poznate po svojim tvrdim oklopima i sporoj, ali dugovječnoj prirodi.",biljožder
Koza,"Koza (Capra aegagrus hircus) je sisavac često držan kao kućni ljubimac. Koze su poznate po svojim mlijekom i veselom skakanju.",biljožder
Morski pas,"Morski pas je riba iz porodice Elasmobranchii, često držana kao egzotični kućni ljubimac. Morski psi su poznati po svojim oštrim zubima i snažnom plivanju.",mesožder
Životinja,"Životinja je opći termin koji se koristi za opisivanje svih živih organizama. Postoji mnogo različitih vrsta životinja, uključujući sisavce, ptice, ribe i gmazove.",svežder
